Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"AU_MANUAL","DB7.DBX0.7",Boolean,1,R/W,100,,,,,,,,,,"",
"ban_kinh_compress","DB14.DBW12",Word,1,R/W,100,,,,,,,,,,"",
"CHANEL_AI","DB13.DBW110",Word,1,RO,100,,,,,,,,,,"",
"chieu_cao_compress","DB14.DBD14",Float,1,R/W,100,,,,,,,,,,"",
"chieu_dai_bending","DB14.DBD54",Float,1,R/W,100,,,,,,,,,,"",
"chieu_dai_compress","DB14.DBD18",Float,1,R/W,100,,,,,,,,,,"",
"chieu_dai_hysterersis","DB14.DBD42",Float,1,R/W,100,,,,,,,,,,"",
"chieu_dai_relax","DB14.DBD30",Float,1,R/W,100,,,,,,,,,,"",
"chieu_dai_tensile","DB14.DBD4",Float,1,R/W,100,,,,,,,,,,"",
"chieu_day_bending","DB14.DBD50",Float,1,R/W,100,,,,,,,,,,"",
"chieu_day_hysterersis","DB14.DBD38",Float,1,R/W,100,,,,,,,,,,"",
"chieu_day_relax","DB14.DBD26",Float,1,R/W,100,,,,,,,,,,"",
"chieu_day_tensile","DB14.DBD0",Float,1,R/W,100,,,,,,,,,,"",
"chieu_rong_bending","DB14.DBD58",Float,1,R/W,100,,,,,,,,,,"",
"chieu_rong_hysterersis","DB14.DBD46",Float,1,R/W,100,,,,,,,,,,"",
"chieu_rong_relax","DB14.DBD34",Float,1,R/W,100,,,,,,,,,,"",
"chieu_rong_tensile","DB14.DBD8",Float,1,R/W,100,,,,,,,,,,"",
"CHU_KY_LAP_LAI_HYSTERERSIS","DB13.DBW86",Word,1,R/W,100,,,,,,,,,,"",
"CURRENT_POSITION","DB13.DBD10",Float,1,R/W,100,,,,,,,,,,"",
"CV_BOOL","DB26.DBX12.0",Boolean,1,R/W,100,,,,,,,,,,"",
"ELONG","DB13.DBD44",Float,1,R/W,100,,,,,,,,,,"",
"EMPTY_WEIGHT","DB13.DBD32",Float,1,R/W,100,,,,,,,,,,"",
"FAST_DOWN","DB7.DBX0.1",Boolean,1,R/W,100,,,,,,,,,,"",
"FAST_UP","DB7.DBX0.0",Boolean,1,R/W,100,,,,,,,,,,"",
"FINISH","DB7.DBX1.6",Boolean,1,R/W,100,,,,,,,,,,"",
"FORCE_MAX","DB13.DBD20",Float,1,R/W,100,,,,,,,,,,"",
"FORCE_MAX_INPUT","DB13.DBD106",Float,1,R/W,100,,,,,,,,,,"",
"FORCE_MIN","DB13.DBD24",Float,1,R/W,100,,,,,,,,,,"",
"HEIGHT","DB21.DBD266",Float,1,R/W,100,,,,,,,,,,"",
"ID_ORDER","DB21.STRING0.50",String,1,R/W,100,,,,,,,,,,"",
"L0","DB21.DBD292",Float,1,R/W,100,,,,,,,,,,"",
"LENGHT","DB21.DBD258",Float,1,R/W,100,,,,,,,,,,"",
